""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"
"vOTU_11438"	0	NA	NA	NA	NA	NA	"Loabvirae"	"Hofneiviricota"	"Faserviricetes"	"Tubulavirales"	"Ellaviridae"
"vOTU_114702"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC8"	"Bellaviridae"
"vOTU_115059"	0	NA	NA	NA	NA	NA	"Orthornavirae"	"Pisuviricota"	"Pisoniviricetes"	"Picornavirales"	"f.0035"
"vOTU_11517"	0.628352217411102	0.876907930726037	4.44356521724221	0.197343324077568	0.843558878184111	NA	"Sangervirae"	"Phixviricota"	"Malgrandaviricetes"	"Petitvirales"	"Noraviridae"
"vOTU_115397"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC1"	"Livaviridae"
"vOTU_115808"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC1"	"Magnusviridae"
"vOTU_116249"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC1"	"Zakariasviridae"
"vOTU_118845"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC1"	"Theoviridae"
"vOTU_11889"	1.74986833041125	2.36652890341594	4.42031829534154	0.535375225333877	0.592390418056096	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC6"	"Sisseviridae"
"vOTU_11977"	1.31134637889661	1.95087613565725	4.41408351990882	0.441966294216732	0.658513596666506	NA	"Sangervirae"	"Phixviricota"	"Malgrandaviricetes"	"Petitvirales"	"Almaviridae"
"vOTU_119904"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC3"	"Linaviridae"
"vOTU_120299"	0.621902872242823	0.851118469093031	4.44421390006107	0.191511589728239	0.848124801297483	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"Crassvirales"	"Soniaviridae"
"vOTU_120334"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC1"	"Sofieviridae"
"vOTU_120586"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC1"	"Danielviridae"
"vOTU_120994"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC1"	"Monaviridae"
"vOTU_121714"	0.244149103816765	-0.456123926528811	4.49775074747787	-0.101411561497618	0.919223759042558	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC1"	"Valdemarviridae"
"vOTU_122490"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC8"	"Mikasviridae"
"vOTU_122529"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC7"	"Henrikviridae"
"vOTU_122663"	1.92940424496739	-4.77307820751779	3.90245834946882	-1.22309523384599	0.221293728595443	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"Crassvirales"	"Nikolajviridae"
"vOTU_12355"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC1"	"Tokeviridae"
"vOTU_124160"	135.721401148964	7.19052912877082	1.96923503704175	3.65143265964466	0.000260781481782251	0.000591104692039768	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC1"	"Alberteviridae"
"vOTU_1247"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"Crassvirales"	"Benedicteviridae"
"vOTU_125088"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"Crassvirales"	"Vincentviridae"
"vOTU_125131"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC2"	"Arthurviridae"
"vOTU_1255"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"Crassvirales"	"Majviridae"
"vOTU_125833"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC1"	"Asgerviridae"
