,Domain,Phylum,Class,Order,Family,Genus
vOTU_5596,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_5675,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_5689,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_5721,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_5747,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_5769,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_5804,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_5852,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_5855,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_5890,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_5917,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_5945,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_6008,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_6053,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_6059,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_6078,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_6081,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_6083,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_6101,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_6105,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
