vOTU	CMS1	CMS10	CMS11	CMS12	CMS13	CMS14	CMS15	CMS16	CMS17	CMS18	CMS19	CMS2	CMS20	CMS21	CMS22	CMS23	CMS24	CMS25	CMS26	CMS27	CMS28	CMS29	CMS3	CMS30	CMS31	CMS32	CMS33	CMS34	CMS35	CMS36	CMS37	CMS38	CMS39	CMS4	CMS40	CMS41	CMS44	CMS45	CMS47	CMS48	CMS5	CMS6	CMS7	CMS8	CMS9	PRE129	PRE174	PRE177	PRE180	PRE181	PRE182	PRE183	PRE185	PRE186	PRE187	PRE189	PRE190	PRE191	PRE192	PRE193	PRE194	PRE195	PRE196	PRE197	PRE198	PRE199	PRE200	PRE203	PRE204	PRE205	PRE207	PRE208	PRE210	PRE211	PRE212	PRE214	PRE237	PRE238	PRE239	PRE327	PRE328	PRE329	PRE330	PRE331
vOTU_56955	22.58264777	0	0	1.240681375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48.99394637	0	4.453305733	0	11.82251942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.60973296	3.267422998	6.731290817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
vOTU_56971	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72.7450943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
vOTU_56993	0	5.940886458	0	3.101703437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.344158162	0	0	0	0.381214694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
vOTU_57048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
vOTU_57061	41.10315624	145.478234	65.11749045	29.80811444	109.8383054	16.58981769	12.25074497	0	178.9643716	0	0	41.57243915	67.79518165	0	0	0	58.51215078	60.94638161	44.9590227	57.47968966	0	0	39.45043368	0	0	0	0	0	0	0	0	0	0	57.65077745	0	0	0	0	0	0	0	7.632119248	52.22314917	16.87110335	8.974510769	0	0	0	0	0	3.897761867	0	0	0	0	0	0	4.867745589	0	0	0	0	0	0	13.98882409	0	0	0	0	0	0	16.79171899	5.498209765	0	0	0	23.19983824	96.15164604	0	0	4.346428015	0	0	0
vOTU_57070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.020417604	78.03756679	1.531452186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
vOTU_57092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.59104747	23.0780619	0	0	9.018849939	0	0	58.41294706	0	0	0	0	0	0	0	0	5.258051786	34.93077472	0	0	0	13.99309916	0	36.18871406	0	0	0	0	0	0	0	0	0	0
vOTU_57097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.692687299	0	0	0	0	0	0	0	0	0	2.613388481	0	0	0	0	0	0	0	0	0	2.798619832	0	0	0	0	0	0	0	0	0	0	0	0
vOTU_57098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.237742812	0	0	0	0	0	0	0	0	0	0
vOTU_57121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.387533789	0	3.340771631	6.033844456	22.56977136	2.298404094	20.63642499	10.7704797	19.59330631	0.88855547	11.35593657	3.43642467	0	1.276532317	0	0	0	0	0	0	0	0	0	0	0	226.5658758	0	0	0	19.49920891	0	0	0	0	0	0	4.870343105	0	0	0	0	0	0	46.65429593	4.848032134	0	0	6.043549125	0	0	0	0	3.6208025	0	31.44380884	56.09619371	213.7843428	559.8951224	0	4.348747347	0	0	0
